archetype,delta,composite,alpha,n_finite,detection_rate
threshold_clustering,0.5,z_mahalanobis_sq,0.01,500,0.004
threshold_clustering,0.5,z_mahalanobis_sq,0.001,500,0.004
threshold_clustering,0.5,t_iut,0.05,500,0.084
threshold_clustering,0.5,t_iut,0.01,500,0.006
threshold_clustering,0.5,t_iut,0.001,500,0.006
threshold_clustering,0.5,z_plus_softmax,0.05,500,0.04
threshold_clustering,0.5,z_plus_softmax,0.01,500,0.018
threshold_clustering,0.5,z_plus_softmax,0.001,500,0.01
threshold_clustering,0.5,z_plus_orth,0.05,500,0.056
threshold_clustering,0.5,z_plus_orth,0.01,500,0.018
threshold_clustering,0.5,z_plus_orth,0.001,500,0.01
threshold_clustering,1.0,z_plus,0.05,500,0.118
threshold_clustering,1.0,z_plus,0.01,500,0.018
threshold_clustering,1.0,z_plus,0.001,500,0.018
threshold_clustering,1.0,z_plus_renorm,0.05,500,0.014
threshold_clustering,1.0,z_plus_renorm,0.01,500,0.0
threshold_clustering,1.0,z_plus_renorm,0.001,500,0.0
threshold_clustering,1.0,breadth,0.05,500,0.026
threshold_clustering,1.0,breadth,0.01,500,0.0
threshold_clustering,1.0,breadth,0.001,500,0.0
threshold_clustering,1.0,z_mahalanobis_sq,0.05,500,0.068
threshold_clustering,1.0,z_mahalanobis_sq,0.01,500,0.02
threshold_clustering,1.0,z_mahalanobis_sq,0.001,500,0.014
threshold_clustering,1.0,t_iut,0.05,500,0.088
threshold_clustering,1.0,t_iut,0.01,500,0.014
threshold_clustering,1.0,t_iut,0.001,500,0.004
threshold_clustering,1.0,z_plus_softmax,0.05,500,0.034
threshold_clustering,1.0,z_plus_softmax,0.01,500,0.03
threshold_clustering,1.0,z_plus_softmax,0.001,500,0.03
threshold_clustering,1.0,z_plus_orth,0.05,500,0.04
threshold_clustering,1.0,z_plus_orth,0.01,500,0.03
threshold_clustering,1.0,z_plus_orth,0.001,500,0.03
threshold_clustering,1.5,z_plus,0.05,500,0.156
threshold_clustering,1.5,z_plus,0.01,500,0.034
threshold_clustering,1.5,z_plus,0.001,500,0.034
threshold_clustering,1.5,z_plus_renorm,0.05,500,0.036
threshold_clustering,1.5,z_plus_renorm,0.01,500,0.01
threshold_clustering,1.5,z_plus_renorm,0.001,500,0.008
threshold_clustering,1.5,breadth,0.05,500,0.046
threshold_clustering,1.5,breadth,0.01,500,0.0
threshold_clustering,1.5,breadth,0.001,500,0.0
threshold_clustering,1.5,z_mahalanobis_sq,0.05,500,0.098
threshold_clustering,1.5,z_mahalanobis_sq,0.01,500,0.042
threshold_clustering,1.5,z_mahalanobis_sq,0.001,500,0.028
threshold_clustering,1.5,t_iut,0.05,500,0.108
threshold_clustering,1.5,t_iut,0.01,500,0.026
threshold_clustering,1.5,t_iut,0.001,500,0.016
threshold_clustering,1.5,z_plus_softmax,0.05,500,0.038
threshold_clustering,1.5,z_plus_softmax,0.01,500,0.034
threshold_clustering,1.5,z_plus_softmax,0.001,500,0.034
threshold_clustering,1.5,z_plus_orth,0.05,500,0.038
threshold_clustering,1.5,z_plus_orth,0.01,500,0.034
threshold_clustering,1.5,z_plus_orth,0.001,500,0.034
threshold_clustering,2.0,z_plus,0.05,500,0.182
threshold_clustering,2.0,z_plus,0.01,500,0.036
threshold_clustering,2.0,z_plus,0.001,500,0.036
threshold_clustering,2.0,z_plus_renorm,0.05,500,0.048
threshold_clustering,2.0,z_plus_renorm,0.01,500,0.016
threshold_clustering,2.0,z_plus_renorm,0.001,500,0.016
threshold_clustering,2.0,breadth,0.05,500,0.036
threshold_clustering,2.0,breadth,0.01,500,0.0
threshold_clustering,2.0,breadth,0.001,500,0.0
threshold_clustering,2.0,z_mahalanobis_sq,0.05,500,0.12
threshold_clustering,2.0,z_mahalanobis_sq,0.01,500,0.026
threshold_clustering,2.0,z_mahalanobis_sq,0.001,500,0.02
threshold_clustering,2.0,t_iut,0.05,500,0.124
threshold_clustering,2.0,t_iut,0.01,500,0.018
threshold_clustering,2.0,t_iut,0.001,500,0.014
threshold_clustering,2.0,z_plus_softmax,0.05,500,0.02
threshold_clustering,2.0,z_plus_softmax,0.01,500,0.02
threshold_clustering,2.0,z_plus_softmax,0.001,500,0.02
threshold_clustering,2.0,z_plus_orth,0.05,500,0.02
threshold_clustering,2.0,z_plus_orth,0.01,500,0.02
threshold_clustering,2.0,z_plus_orth,0.001,500,0.02
threshold_clustering,3.0,z_plus,0.05,500,0.278
threshold_clustering,3.0,z_plus,0.01,500,0.07
threshold_clustering,3.0,z_plus,0.001,500,0.07
threshold_clustering,3.0,z_plus_renorm,0.05,500,0.166
threshold_clustering,3.0,z_plus_renorm,0.01,500,0.054
threshold_clustering,3.0,z_plus_renorm,0.001,500,0.054
threshold_clustering,3.0,breadth,0.05,500,0.058
threshold_clustering,3.0,breadth,0.01,500,0.0
threshold_clustering,3.0,breadth,0.001,500,0.0
threshold_clustering,3.0,z_mahalanobis_sq,0.05,500,0.322
threshold_clustering,3.0,z_mahalanobis_sq,0.01,500,0.062
threshold_clustering,3.0,z_mahalanobis_sq,0.001,500,0.046
